tid,type,type_id,num
110103,310101,110300,0
110103,310101,110900,0
110103,310101,120200,0
110103,310101,120100,0
110114,310101,130500,0
110102,310101,110200,0
110102,410202,111801,0
110115,310101,130400,0
120101,410102,110203,0
110116,410202,110401,0
110116,410402,110107,0
110118,410202,110501,0
110120,410202,110801,0
110122,410202,110701,0
110124,410202,110601,0
110129,410202,111001,0
110131,410202,110901,0
130101,410402,110119,0
130102,410402,110120,0
130103,410402,110109,0
130104,410402,110111,0
130105,410402,110114,0
130106,410402,110113,0
130107,410402,110116,0
130108,410402,110115,0
130109,410402,110110,0
130110,410402,110117,0
120201,410102,110501,0
120202,410102,110502,0
120203,410102,110503,0
120204,410102,110504,0
120205,410102,110505,0
120206,410102,110506,0
120207,410102,110507,0
120208,410102,110508,0
120209,410102,110509,0
120210,410102,110510,0
120211,410102,110511,0
120212,410102,110512,0
120213,410102,110513,0
120214,410102,110514,0
120215,410102,110515,0
120216,410102,110516,0
120217,410102,110517,0
120218,410102,110518,0
120219,410102,110519,0
120220,410102,110520,0
120221,410102,110521,0
120222,410102,110522,0
120223,410102,110523,0
120224,410102,110524,0
120225,410102,110525,0
120226,410102,110526,0
120227,410102,110527,0
120228,410102,110528,0
110110,410202,111301,0
110110,410203,110102,0
110119,410203,110103,0
110121,410203,110104,0
110123,410203,110106,0
110125,410203,110105,0
110130,410203,110111,0
110132,410203,110110,0
110132,410203,110113,0
140201,410203,110114,0
140401,410203,110116,0
140301,410203,110112,0
140601,410203,110115,0
140901,410203,110109,0
110133,410202,110201,0
110134,410102,110704,0
140402,410102,110702,0
140702,410102,110703,0
150101,410102,111221,0
150201,410102,111226,0
150301,410102,111231,0
150401,410102,111236,0
150501,410102,111241,0
150601,410102,111246,0
150701,410102,111251,0
150801,410102,111256,0
150901,410102,111259,0
151001,410102,111264,0
151101,410102,111269,0
140203,410402,110301,0
140203,410402,110302,0
140203,410402,110303,0
140203,410402,110304,0
140203,410402,110305,0
140203,410402,110306,0
140203,410402,110307,0
140403,410402,110308,0
140403,410402,110309,0
140403,410402,110310,0
140403,410402,110311,0
140403,410402,110312,0
140403,410402,110313,0
140403,410402,110314,0
140603,410402,110315,0
140603,410402,110316,0
140603,410402,110317,0
140603,410402,110318,0
140603,410402,110319,0
140603,410402,110320,0
140903,410402,110321,0
140903,410402,110322,0
140903,410402,110323,0
140903,410402,110324,0
140903,410402,110325,0
140903,410402,110326,0
140903,410402,110327,0
140903,410402,110328,0
110127,410203,110108,0
110126,410202,111401,0
130111,410402,110108,0
140101,410203,110107,0
110109,310101,110500,0
110109,410202,111201,0
110109,410102,110701,0
110117,410102,120901,0
110117,410102,121001,0
110117,410102,121101,0
110117,410102,110401,0
110117,410102,110402,0
110117,410102,110403,0
110117,410102,110404,0
110117,410102,110405,0
110117,410102,110406,0
110117,410102,110407,0
160101,410101,110206,1
160201,510101,110301,0
160202,510101,110401,0
160203,510101,110101,0
160204,510101,110201,0
160301,430203,6,0
160302,410101,100101,0
160303,410101,100101,0
160304,410101,110105,0
160305,410101,110106,0
160306,410101,100101,0
160401,510101,210101,0
160402,510101,210102,0
160403,510101,210103,0
160404,510101,210104,0
160405,510101,210105,0
160406,510101,210201,0
160407,510101,210202,0
160408,510101,210203,0
160409,510101,210204,0
160410,510101,210205,0
160411,510101,210301,0
160412,510101,210302,0
160413,510101,210303,0
160414,510101,210304,0
160415,510101,210305,0
170101,410101,100101,4000
170101,410104,111221,0
170201,410101,100101,6000
170201,410104,111226,0
170301,410101,100101,10000
170301,410104,111231,0
170401,410101,100101,20000
170401,410104,111236,0
170501,410101,100101,30000
170501,410104,111241,0
170601,410101,100101,40000
170601,410104,111246,0
170701,410101,100101,60000
170701,410104,111251,0
170801,410101,100101,80000
170801,410104,111256,0
170901,410101,100101,120000
170901,410104,111259,0
171001,410101,100101,200000
171001,410104,111264,0
171101,410101,100101,2000000
171101,410104,111269,0
180101,430202,110201,0
180102,430202,110301,0
180103,430202,110401,0
180104,430202,110501,0
180105,430202,110601,0
180105,430202,110701,0
180105,430202,110801,0
180106,430202,110901,0
180106,430202,111001,0
180106,430202,111101,0
180107,430202,111201,0
190101,410202,111501,0
190102,510101,120101,0
190103,410301,110802,0
190104,410301,110802,0
190105,410301,110802,0
190106,410101,100101,10000
190107,410101,100101,600000
110101,310101,110100,0
110101,310101,110800,0
110112,310101,110600,0
110112,310101,110601,0
110111,410202,111701,0
110111,310101,111000,0
110111,310101,130200,0
110111,310101,130100,0
110113,310101,130300,0
110113,410101,130001,1
200101,510201,110101,0
200101,410101,100103,1
200102,510201,110102,0
200102,410101,100103,1
200103,510201,110103,0
200103,410101,100103,2
200104,510201,110104,0
200104,410101,100103,2
200105,510201,110105,0
200105,410101,100103,3
200201,510201,110201,0
200201,410101,100103,1
200202,510201,110202,0
200202,410101,100103,1
200203,510201,110203,0
200203,410101,100103,2
200204,510201,110204,0
200204,410101,100103,2
200205,510201,110205,0
200205,410101,100103,3
200301,510201,110301,0
200301,410101,100103,1
200302,510201,110302,0
200302,410101,100103,1
200303,510201,110303,0
200303,410101,100103,2
200304,510201,110304,0
200304,410101,100103,2
200305,510201,110305,0
200305,410101,100103,3
200401,510201,110401,0
200401,410101,100103,1
200402,510201,110402,0
200402,410101,100103,1
200403,510201,110403,0
200403,410101,100103,2
200404,510201,110404,0
200404,410101,100103,2
200405,510201,110405,0
200405,410101,100103,2
200501,510201,110501,0
200501,410101,100103,1
200502,510201,110502,0
200502,410101,100103,1
200503,510201,110503,0
200503,410101,100103,2
200504,510201,110504,0
200504,410101,100103,2
200505,510201,110505,0
200505,410101,100103,3
200601,510201,110601,0
200601,410101,100103,1
200602,510201,110602,0
200602,410101,100103,1
200603,510201,110603,0
200603,410101,100103,2
200604,510201,110604,0
200604,410101,100103,2
200605,510201,110605,0
200605,410101,100103,3
200701,510201,110701,0
200701,410101,100103,1
200702,510201,110702,0
200702,410101,100103,2
200703,510201,110703,0
200703,410101,100103,3
200704,510201,110704,0
200704,410101,100103,4
200705,510201,110705,0
200705,410101,100103,5
200801,510201,110801,0
200801,410101,100103,1
200802,510201,110802,0
200802,410101,100103,2
200803,510201,110803,0
200803,410101,100103,3
200804,510201,110804,0
200804,410101,100103,4
200805,510201,110805,0
200805,410101,100103,5
201001,510201,210201,0
201001,410101,100103,2
201002,510201,210202,0
201002,410101,100103,2
201003,510201,210203,0
201003,410101,100103,2
201004,510201,210204,0
201004,410101,100103,2
201005,510201,210205,0
201005,410101,100103,1
201101,510201,310301,0
201101,410101,100103,1
201102,510201,310302,0
201102,410101,100103,1
201103,510201,310303,0
201103,410101,100103,1
201104,510201,310304,0
201104,410101,100103,2
201105,510201,310305,0
201105,410101,100103,2
201106,510201,310306,0
201106,410101,100103,3
201107,510201,310307,0
201107,410101,100103,3
201108,510201,310308,0
201108,410101,100103,4
201109,510201,310309,0
201109,410101,100103,4
201110,510201,310310,0
201110,410101,100103,5
201111,510201,310311,0
201111,410101,100103,6
201301,510201,610101,0
201301,410101,100103,3
201302,510201,610102,0
201302,410101,100103,3
201303,510201,610103,0
201303,410101,100103,1
201201,510201,510101,0
201201,410101,100103,3
201202,510201,510102,0
